Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,spotify:artist:7dnB1wSxbYa8CejeVg98hz,Meat Loaf,spotify:album:6mvI80w5r78niBmwtu7RF9,Bat Out Of Hell,10/21/1977,https://i.scdn.co/image/ab67616d0000b2734111af27787499f6d8752e9f,1,6,508333,https://p.scdn.co/mp3-preview/4b9180c5f9f27ff184818e4c34042fe53cac6ffd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,65,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:54X78diSLoUDI3joC2bjMz,Purple Rain,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,spotify:album:7nXJ5k4XgRj5OLg9m8V3zc,Purple Rain,6/25/1984,https://i.scdn.co/image/ab67616d0000b273d52bfb90ee8dfeda8378b99b,1,9,520786,https://p.scdn.co/mp3-preview/2fe008411edea4f21355301daa8993663eaf46f8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:62LJFaYihsdVrrkgUOJC05,Kiss,spotify:artist:5a2EaR3hamoenG9rDuVn8j,Prince,spotify:album:54DjkEN3wdCQgfCTZ9WjdB,Parade - Music from the Motion Picture Under the Cherry Moon,3/31/1986,https://i.scdn.co/image/ab67616d0000b27323cc0f0a925845a3de4aca38,1,10,226240,https://p.scdn.co/mp3-preview/87d72814c44403d3ff668ce8639d3d5b287a39de?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:1fDsrQ23eTAVFElUMaf38X,American Pie,spotify:artist:1gRNBaI4yn6wCCTvRhGWh8,Don McLean,spotify:album:10jsW2NYd9blCrDITMh2zS,American Pie,1971,https://i.scdn.co/image/ab67616d0000b2730085dd4362653ef4c54ebbeb,1,1,516893,https://p.scdn.co/mp3-preview/657a74cc0b866df8ddf69f34196e797c8a4d1b1d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,74,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:0PsbWiVtix5FoTZ1s00mEl,Come Sail Away,spotify:artist:4salDzkGmfycRqNUbyBphh,Styx,spotify:album:6MFIBPVrZjHjP0pPkVF3IU,The Grand Illusion,1/1/1977,https://i.scdn.co/image/ab67616d0000b27388f0f719259b0dec23a7c367,1,4,367000,https://p.scdn.co/mp3-preview/565ab99a1883f73f3ba781c762cf508c2ec56972?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:5tVA6TkbaAH9QMITTQRrNv,Free Fallin',spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,spotify:album:5d71Imt5CIb7LpQwDMQ093,Full Moon Fever,1/1/1989,https://i.scdn.co/image/ab67616d0000b27336572e6726714544f5bed456,1,1,256000,https://p.scdn.co/mp3-preview/96b4f94c82b38c4085f56f0abec8ab93f3946a2a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,spotify:album:0QNluXFRHFyRVDiBHXmstK,Too Rye Ay,1982-08,https://i.scdn.co/image/ab67616d0000b273d76cc2f77662cac38f84b4c6,1,10,287306,,FALSE,0,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,Eagles,spotify:album:2widuo17g5CEC66IbzveRu,Hotel California (2013 Remaster),12/8/1976,https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778,1,1,391376,https://p.scdn.co/mp3-preview/50e82c99c20ffa4223e82250605bbd8500cb3928?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,spotify:album:54V1ljNtyzAm053oJqi0SH,Second Helping,4/15/1974,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac,1,1,283800,https://p.scdn.co/mp3-preview/56c87d16c2f7514de3887a75e1084849b4f33198?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,81,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
spotify:track:6naxalmIoLFWR0siv8dnQQ,Oops!...I Did It Again,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears,spotify:album:5PmgtkodFl2Om3hMXONDll,Oops!... I Did It Again,5/16/2000,https://i.scdn.co/image/ab67616d0000b2732aa20611c7fb964a74ab01a6,1,1,211160,https://p.scdn.co/mp3-preview/7fb86827422540ad01f65870375fef055412f034?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,spotify:user:dgd13qott8zs5e2si4st3j7a9,2021-03-02T17:46:51Z
